971 9113
28 778 16.775
28 783 23.735
28 792 20.75
28 805 19.721
28 806 15.767
28 830 19.711
28 844 17.782
28 852 16.9
28 857 21.71
28 868 15.753
28 881 15.767
28 885 17.829
28 895 21.843
28 896 16.75
28 906 17.771
28 909 18.778
28 921 15.713
28 924 18.711
28 925 16.763
28 927 17.712
28 933 23.804
28 938 16.788
28 944 15.753
28 948 25.82
28 960 19.742
28 961 16.763
28 962 16.7
28 966 23.761
29 602 15.873
30 221 15.767
30 655 15.767
31 137 15.9
31 221 15.807
31 289 15.86
31 602 15.9
31 653 17.888
31 833 17.806
32 37 17.782
32 45 19.816
32 47 19.774
32 48 21.767
32 58 17.794
32 61 24.708
32 65 19.9
32 67 23.743
32 76 21.767
32 87 19.784
32 91 26.762
32 100 16.763
32 106 25.804
32 111 20.86
32 113 19.637
32 123 17.747
32 155 17.818
32 162 17.735
32 166 23.778
32 172 19.742
32 181 28.779
32 195 17.794
32 217 17.724
32 220 17.794
32 244 19.795
32 260 16.775
32 267 22.782
32 289 27.796
32 292 17.688
32 293 19.742
32 320 17.806
32 331 20.79
32 351 21.776
32 364 15.7
32 394 24.708
32 401 18.689
32 431 16.8
32 443 17.747
32 456 17.818
32 573 16.825
32 575 19.816
32 577 15.78
32 585 18.744
32 587 17.806
32 590 16.725
32 592 20.76
32 594 15.807
32 607 29.783
32 619 24.758
32 623 16.75
32 625 17.841
32 628 19.774
32 630 15.873
32 639 20.81
32 647 17.771
32 648 27.715
32 652 26.762
32 653 15.793
32 657 20.73
32 660 21.814
32 671 18.722
32 675 15.793
32 678 19.826
32 684 20.79
32 693 16.775
32 694 21.71
32 696 15.78
32 700 17.782
32 702 16.8
32 703 16.75
32 707 15.793
32 712 19.795
32 714 16.713
32 717 16.825
32 718 16.8
32 723 20.71
32 725 20.87
32 729 23.787
32 735 24.783
32 742 16.713
32 744 16.738
32 760 16.813
32 768 15.793
32 775 15.833
32 780 18.8
32 781 15.727
32 783 17.782
32 786 23.883
32 791 16.775
32 792 21.748
32 813 19.784
32 815 18.8
32 824 16.775
32 852 18.889
32 855 20.76
32 862 15.767
32 868 15.767
32 873 19.732
32 881 18.711
32 882 15.673
32 884 17.759
32 885 16.763
32 895 15.82
32 896 15.807
32 897 16.65
32 910 18.811
32 927 16.663
32 938 18.778
32 939 19.774
32 943 15.78
32 944 19.805
32 948 19.763
32 962 16.75
32 965 15.753
33 41 15.78
33 77 17.724
33 81 18.733
33 257 21.757
33 581 16.788
33 619 17.747
33 631 15.713
33 658 16.713
33 682 16.763
33 709 17.782
33 784 19.711
33 833 15.753
33 837 19.784
33 844 15.753
33 857 19.732
33 885 18.778
33 895 18.856
33 906 15.793
33 960 15.753
37 47 18.756
37 48 16.763
37 61 19.721
37 65 16.9
37 67 16.788
37 83 15.78
37 91 17.759
37 100 17.724
37 101 15.82
37 106 17.829
37 134 23.77
37 162 15.793
37 166 15.767
37 172 16.788
37 180 18.756
37 181 19.805
37 211 15.74
37 220 23.726
37 244 19.826
37 257 15.807
37 292 15.78
37 293 17.806
37 317 15.7
37 351 17.759
37 381 15.793
37 443 20.72
37 581 17.724
37 583 17.747
37 607 15.793
37 609 15.7
37 613 17.806
37 618 16.775
37 619 29.693
37 639 17.829
37 648 26.754
37 657 15.673
37 660 17.782
37 667 23.796
37 677 15.793
37 678 15.793
37 689 16.9
37 695 15.727
37 712 20.81
37 721 15.687
37 723 19.795
37 735 17.841
37 739 16.75
37 762 19.816
37 783 20.77
37 792 16.738
37 830 18.789
37 881 17.747
37 882 15.78
37 895 17.841
37 896 17.759
37 924 15.753
37 927 15.727
37 933 22.745
37 948 25.82
37 961 15.767
37 962 17.759
37 966 18.8
40 872 16.75
41 68 15.74
41 77 22.682
41 80 15.727
41 102 15.793
41 134 17.747
41 147 15.767
41 162 16.638
41 172 17.794
41 175 15.727
41 183 15.767
41 232 16.725
41 244 17.724
41 257 18.756
41 269 16.625
41 273 16.775
41 581 20.72
41 602 15.78
41 613 20.74
41 619 20.63
41 621 17.771
41 653 18.767
41 657 26.692
41 667 16.75
41 682 17.794
41 694 18.767
41 695 15.74
41 709 20.73
41 712 25.732
41 735 21.757
41 758 15.74
41 760 19.763
41 762 25.724
41 778 20.78
41 857 17.782
41 862 16.788
41 885 22.791
41 891 17.747
41 895 17.818
41 925 15.74
41 927 23.709
41 966 19.774
44 257 16.713
44 401 16.813
44 581 15.74
44 586 15.7
44 654 16.713
44 671 15.753
44 694 15.78
44 704 18.722
44 762 15.713
44 784 17.771
44 805 16.775
44 938 18.822
44 966 17.759
45 47 17.806
45 58 15.767
45 61 16.725
45 67 19.837
45 76 24.825
45 87 19.816
45 91 20.76
45 106 19.784
45 113 21.681
45 123 21.795
45 136 15.78
45 166 24.775
45 181 17.747
45 195 26.762
45 244 17.724
45 257 17.829
45 260 15.767
45 262 18.811
45 267 17.771
45 289 21.805
45 293 21.786
45 331 16.8
45 344 16.788
45 351 22.764
45 354 16.75
45 363 15.807
45 393 18.844
45 394 27.73
45 420 19.742
45 575 22.773
45 577 18.756
45 583 18.778
45 585 17.759
45 587 15.78
45 590 26.762
45 592 15.793
45 600 15.807
45 604 21.833
45 607 20.79
45 618 15.753
45 619 18.778
45 625 22.745
45 627 16.813
45 628 18.811
45 633 18.811
45 639 15.833
45 648 23.709
45 652 18.733
45 657 16.738
45 660 21.805
45 665 16.738
45 675 15.847
45 678 18.856
45 686 15.807
45 693 19.763
45 700 23.77
45 703 18.789
45 704 17.771
45 705 15.727
45 714 19.795
45 717 20.73
45 723 20.76
45 725 15.86
45 729 18.767
45 730 15.793
45 735 17.782
45 742 16.738
45 752 16.8
45 762 16.813
45 768 15.833
45 773 16.775
45 774 15.78
45 775 16.775
45 783 19.753
45 786 23.891
45 792 20.74
45 794 18.778
45 799 18.733
45 806 15.847
45 813 16.825
45 815 17.794
45 830 17.724
45 852 16.875
45 855 15.847
45 857 17.771
45 868 18.778
45 873 24.733
45 881 16.813
45 884 18.833
45 895 21.795
